2101276279:1:R:7, TOTAL_icmp_sent:9
2101278079:1:R:7, TOTAL_icmp_recv:75
2101601665:6:R:7, icmp_sent_TOTAL:67
2101603464:6:R:7, icmp_recv_TOTAL:67
2101785885:3:R:7, icmp_sent_TOTAL:59
2101787684:3:R:7, icmp_recv_TOTAL:68
2401122682:2:R:8, icmp_sent_TOTAL:44
2401124480:2:R:8, icmp_recv_TOTAL:26
2401137200:8:R:8, icmp_sent_TOTAL:42
2401138999:8:R:8, icmp_recv_TOTAL:50
2401234921:4:R:8, icmp_sent_TOTAL:54
2401236720:4:R:8, icmp_recv_TOTAL:63
2401276278:1:R:8, TOTAL_icmp_sent:9
2401278078:1:R:8, TOTAL_icmp_recv:78
2401601656:6:R:8, icmp_sent_TOTAL:73
2401603456:6:R:8, icmp_recv_TOTAL:71
2401785893:3:R:8, icmp_sent_TOTAL:65
2401787693:3:R:8, icmp_recv_TOTAL:72
2701122666:2:R:9, icmp_sent_TOTAL:48
2701124465:2:R:9, icmp_recv_TOTAL:30
2701137202:8:R:9, icmp_sent_TOTAL:45
2701139001:8:R:9, icmp_recv_TOTAL:54
2701234904:4:R:9, icmp_sent_TOTAL:60
2701236703:4:R:9, icmp_recv_TOTAL:68
2701276270:1:R:9, TOTAL_icmp_sent:9
2701278069:1:R:9, TOTAL_icmp_recv:84
2701601666:6:R:9, icmp_sent_TOTAL:80
2701603466:6:R:9, icmp_recv_TOTAL:75
2701785887:3:R:9, icmp_sent_TOTAL:71
2701787686:3:R:9, icmp_recv_TOTAL:77
3001122778:2:R:10, icmp_sent_TOTAL:52
3001124689:2:R:10, icmp_recv_TOTAL:31
3001137323:8:R:10, icmp_sent_TOTAL:49
3001139234:8:R:10, icmp_recv_TOTAL:57
3001235026:4:R:10, icmp_sent_TOTAL:64
3001236937:4:R:10, icmp_recv_TOTAL:74
3001275787:1:SINK: Round: 10
3001277586:1:R:10, TOTAL_icmp_sent:9
3001279497:1:R:10, TOTAL_icmp_recv:90
3001601768:6:R:10, icmp_sent_TOTAL:86
3001603679:6:R:10, icmp_recv_TOTAL:81
3001786008:3:R:10, icmp_sent_TOTAL:77
3001787919:3:R:10, icmp_recv_TOTAL:83
3301122778:2:R:11, icmp_sent_TOTAL:56
3301124688:2:R:11, icmp_recv_TOTAL:33
3301137313:8:R:11, icmp_sent_TOTAL:53
3301139224:8:R:11, icmp_recv_TOTAL:61
3301235014:4:R:11, icmp_sent_TOTAL:67
3301236926:4:R:11, icmp_recv_TOTAL:79
3301276504:1:R:11, TOTAL_icmp_sent:10
3301278415:1:R:11, TOTAL_icmp_recv:94
3301601767:6:R:11, icmp_sent_TOTAL:92
3301603678:6:R:11, icmp_recv_TOTAL:85
3301786006:3:R:11, icmp_sent_TOTAL:81
3301787916:3:R:11, icmp_recv_TOTAL:87
3601122786:2:R:12, icmp_sent_TOTAL:60
3601124697:2:R:12, icmp_recv_TOTAL:37
3601137322:8:R:12, icmp_sent_TOTAL:56
3601139233:8:R:12, icmp_recv_TOTAL:62
3601235023:4:R:12, icmp_sent_TOTAL:75
3601236934:4:R:12, icmp_recv_TOTAL:85
3601276503:1:R:12, TOTAL_icmp_sent:10
3601278526:1:R:12, TOTAL_icmp_recv:101
3601601889:6:R:12, icmp_sent_TOTAL:100
3601603800:6:R:12, icmp_recv_TOTAL:91
3601786005:3:R:12, icmp_sent_TOTAL:89
3601787916:3:R:12, icmp_recv_TOTAL:93
3901122788:2:R:13, icmp_sent_TOTAL:65
3901124698:2:R:13, icmp_recv_TOTAL:39
3901137312:8:R:13, icmp_sent_TOTAL:60
3901139223:8:R:13, icmp_recv_TOTAL:67
3901235016:4:R:13, icmp_sent_TOTAL:79
3901236927:4:R:13, icmp_recv_TOTAL:92
3901276505:1:R:13, TOTAL_icmp_sent:11
3901278527:1:R:13, TOTAL_icmp_recv:106
3901601871:6:R:13, icmp_sent_TOTAL:105
3901603782:6:R:13, icmp_recv_TOTAL:97
3901785998:3:R:13, icmp_sent_TOTAL:94
3901787909:3:R:13, icmp_recv_TOTAL:98
4201122778:2:R:14, icmp_sent_TOTAL:70
4201124689:2:R:14, icmp_recv_TOTAL:42
4201137311:8:R:14, icmp_sent_TOTAL:63
4201139223:8:R:14, icmp_recv_TOTAL:70
4201235023:4:R:14, icmp_sent_TOTAL:86
4201236933:4:R:14, icmp_recv_TOTAL:98
4201276502:1:R:14, TOTAL_icmp_sent:11
4201278526:1:R:14, TOTAL_icmp_recv:113
4201601888:6:R:14, icmp_sent_TOTAL:114
4201603911:6:R:14, icmp_recv_TOTAL:104
4201786107:3:R:14, icmp_sent_TOTAL:101
4201788130:3:R:14, icmp_recv_TOTAL:105
4501122777:2:R:15, icmp_sent_TOTAL:72
4501124687:2:R:15, icmp_recv_TOTAL:44
4501137313:8:R:15, icmp_sent_TOTAL:66
4501139225:8:R:15, icmp_recv_TOTAL:72
4501235005:4:R:15, icmp_sent_TOTAL:88
4501237028:4:R:15, icmp_recv_TOTAL:101
4501276495:1:R:15, TOTAL_icmp_sent:11
4501278518:1:R:15, TOTAL_icmp_recv:115
4501601871:6:R:15, icmp_sent_TOTAL:118
4501603893:6:R:15, icmp_recv_TOTAL:106
4501786110:3:R:15, icmp_sent_TOTAL:104
4501788133:3:R:15, icmp_recv_TOTAL:108
4801122787:2:R:16, icmp_sent_TOTAL:76
4801124698:2:R:16, icmp_recv_TOTAL:45
4801137323:8:R:16, icmp_sent_TOTAL:70
4801139235:8:R:16, icmp_recv_TOTAL:76
4801235025:4:R:16, icmp_sent_TOTAL:92
4801237047:4:R:16, icmp_recv_TOTAL:106
4801276504:1:R:16, TOTAL_icmp_sent:11
4801278527:1:R:16, TOTAL_icmp_recv:121
4801601890:6:R:16, icmp_sent_TOTAL:125
4801603913:6:R:16, icmp_recv_TOTAL:110
4801786119:3:R:16, icmp_sent_TOTAL:110
4801788142:3:R:16, icmp_recv_TOTAL:113
5101122787:2:R:17, icmp_sent_TOTAL:81
5101124697:2:R:17, icmp_recv_TOTAL:47
5101137314:8:R:17, icmp_sent_TOTAL:73
5101139225:8:R:17, icmp_recv_TOTAL:81
5101235016:4:R:17, icmp_sent_TOTAL:97
5101237039:4:R:17, icmp_recv_TOTAL:114
5101276505:1:R:17, TOTAL_icmp_sent:12
5101278527:1:R:17, TOTAL_icmp_recv:128
5101601881:6:R:17, icmp_sent_TOTAL:133
5101603904:6:R:17, icmp_recv_TOTAL:117
5101786110:3:R:17, icmp_sent_TOTAL:118
5101788133:3:R:17, icmp_recv_TOTAL:119
5401122775:2:R:18, icmp_sent_TOTAL:84
5401124686:2:R:18, icmp_recv_TOTAL:50
5401137323:8:R:18, icmp_sent_TOTAL:77
5401139233:8:R:18, icmp_recv_TOTAL:83
5401235125:4:R:18, icmp_sent_TOTAL:101
5401237148:4:R:18, icmp_recv_TOTAL:118
5401276503:1:R:18, TOTAL_icmp_sent:12
5401278526:1:R:18, TOTAL_icmp_recv:133
5401601889:6:R:18, icmp_sent_TOTAL:139
5401603912:6:R:18, icmp_recv_TOTAL:120
5401786118:3:R:18, icmp_sent_TOTAL:122
5401788140:3:R:18, icmp_recv_TOTAL:123
5701122778:2:R:19, icmp_sent_TOTAL:88
5701124689:2:R:19, icmp_recv_TOTAL:53
5701137304:8:R:19, icmp_sent_TOTAL:80
5701139214:8:R:19, icmp_recv_TOTAL:85
5701235128:4:R:19, icmp_sent_TOTAL:106
5701237151:4:R:19, icmp_recv_TOTAL:123
5701276495:1:R:19, TOTAL_icmp_sent:12
5701278518:1:R:19, TOTAL_icmp_recv:136
5701601881:6:R:19, icmp_sent_TOTAL:144
5701603904:6:R:19, icmp_recv_TOTAL:123
5701786100:3:R:19, icmp_sent_TOTAL:126
5701788123:3:R:19, icmp_recv_TOTAL:128
6001122787:2:R:20, icmp_sent_TOTAL:91
6001124698:2:R:20, icmp_recv_TOTAL:54
6001137332:8:R:20, icmp_sent_TOTAL:85
6001139243:8:R:20, icmp_recv_TOTAL:91
6001235137:4:R:20, icmp_sent_TOTAL:110
6001237160:4:R:20, icmp_recv_TOTAL:128
6001275806:1:SINK: Round: 20
6001277717:1:R:20, TOTAL_icmp_sent:13
6001279740:1:R:20, TOTAL_icmp_recv:145
6001601891:6:R:20, icmp_sent_TOTAL:152
6001603914:6:R:20, icmp_recv_TOTAL:131
6001786129:3:R:20, icmp_sent_TOTAL:134
6001788152:3:R:20, icmp_recv_TOTAL:135
6301122778:2:R:21, icmp_sent_TOTAL:96
6301124689:2:R:21, icmp_recv_TOTAL:57
6301137321:8:R:21, icmp_sent_TOTAL:88
6301139231:8:R:21, icmp_recv_TOTAL:94
6301235126:4:R:21, icmp_sent_TOTAL:115
6301237149:4:R:21, icmp_recv_TOTAL:134
6301276502:1:R:21, TOTAL_icmp_sent:13
6301278526:1:R:21, TOTAL_icmp_recv:151
6301601889:6:R:21, icmp_sent_TOTAL:159
6301603912:6:R:21, icmp_recv_TOTAL:135
6301786117:3:R:21, icmp_sent_TOTAL:139
6301788140:3:R:21, icmp_recv_TOTAL:138
6601122785:2:R:22, icmp_sent_TOTAL:99
6601124696:2:R:22, icmp_recv_TOTAL:59
6601137313:8:R:22, icmp_sent_TOTAL:91
6601139224:8:R:22, icmp_recv_TOTAL:96
6601235127:4:R:22, icmp_sent_TOTAL:120
6601237150:4:R:22, icmp_recv_TOTAL:139
6601276494:1:R:22, TOTAL_icmp_sent:13
6601278518:1:R:22, TOTAL_icmp_recv:156
6601601879:6:R:22, icmp_sent_TOTAL:166
6601603903:6:R:22, icmp_recv_TOTAL:139
6601786108:3:R:22, icmp_sent_TOTAL:145
6601788131:3:R:22, icmp_recv_TOTAL:144
6901122891:2:R:23, icmp_sent_TOTAL:103
6901124802:2:R:23, icmp_recv_TOTAL:61
6901137315:8:R:23, icmp_sent_TOTAL:94
6901139226:8:R:23, icmp_recv_TOTAL:99
6901235129:4:R:23, icmp_sent_TOTAL:124
6901237152:4:R:23, icmp_recv_TOTAL:144
6901276496:1:R:23, TOTAL_icmp_sent:13
6901278518:1:R:23, TOTAL_icmp_recv:161
6901601882:6:R:23, icmp_sent_TOTAL:172
6901603905:6:R:23, icmp_recv_TOTAL:144
6901786112:3:R:23, icmp_sent_TOTAL:151
6901788135:3:R:23, icmp_recv_TOTAL:149
7201122908:2:R:24, icmp_sent_TOTAL:107
7201124819:2:R:24, icmp_recv_TOTAL:63
7201137323:8:R:24, icmp_sent_TOTAL:98
7201139345:8:R:24, icmp_recv_TOTAL:104
7201235146:4:R:24, icmp_sent_TOTAL:128
7201237170:4:R:24, icmp_recv_TOTAL:150
7201276514:1:R:24, TOTAL_icmp_sent:14
7201278536:1:R:24, TOTAL_icmp_recv:168
