1201601663:6:R:4, icmp_sent_TOTAL:48
1201603462:6:R:4, icmp_recv_TOTAL:51
1201785892:3:R:4, icmp_sent_TOTAL:41
1201787690:3:R:4, icmp_recv_TOTAL:44
1500959314:10:R:5, icmp_sent_TOTAL:61
1500961114:10:R:5, icmp_recv_TOTAL:73
1501077006:13:R:5, icmp_sent_TOTAL:70
1501078805:13:R:5, icmp_recv_TOTAL:71
1501122665:2:R:5, icmp_sent_TOTAL:33
1501124464:2:R:5, icmp_recv_TOTAL:32
1501137201:8:R:5, icmp_sent_TOTAL:31
1501139000:8:R:5, icmp_recv_TOTAL:56
1501234894:4:R:5, icmp_sent_TOTAL:35
1501236692:4:R:5, icmp_recv_TOTAL:43
1501276270:1:R:5, TOTAL_icmp_sent:8
1501278181:1:R:5, TOTAL_icmp_recv:121
1501288306:9:R:5, icmp_sent_TOTAL:32
1501290105:9:R:5, icmp_recv_TOTAL:59
1501443025:12:R:5, icmp_sent_TOTAL:31
1501444825:12:R:5, icmp_recv_TOTAL:72
1501595013:11:R:5, icmp_sent_TOTAL:30
1501596812:11:R:5, icmp_recv_TOTAL:33
1501601655:6:R:5, icmp_sent_TOTAL:55
1501603454:6:R:5, icmp_recv_TOTAL:54
1501785885:3:R:5, icmp_sent_TOTAL:47
1501787683:3:R:5, icmp_recv_TOTAL:47
1800959325:10:R:6, icmp_sent_TOTAL:69
1800961123:10:R:6, icmp_recv_TOTAL:80
1801077015:13:R:6, icmp_sent_TOTAL:80
1801078815:13:R:6, icmp_recv_TOTAL:78
1801122656:2:R:6, icmp_sent_TOTAL:38
1801124455:2:R:6, icmp_recv_TOTAL:37
1801137212:8:R:6, icmp_sent_TOTAL:37
1801139011:8:R:6, icmp_recv_TOTAL:62
1801234913:4:R:6, icmp_sent_TOTAL:43
1801236712:4:R:6, icmp_recv_TOTAL:49
1801276281:1:R:6, TOTAL_icmp_sent:9
1801278192:1:R:6, TOTAL_icmp_recv:137
1801288316:9:R:6, icmp_sent_TOTAL:35
1801290115:9:R:6, icmp_recv_TOTAL:65
1801443036:12:R:6, icmp_sent_TOTAL:35
1801444835:12:R:6, icmp_recv_TOTAL:79
1801595033:11:R:6, icmp_sent_TOTAL:35
1801596832:11:R:6, icmp_recv_TOTAL:36
1801601647:6:R:6, icmp_sent_TOTAL:63
1801603446:6:R:6, icmp_recv_TOTAL:64
1801785886:3:R:6, icmp_sent_TOTAL:55
1801787685:3:R:6, icmp_recv_TOTAL:56
2100959307:10:R:7, icmp_sent_TOTAL:76
2100961106:10:R:7, icmp_recv_TOTAL:87
2101077014:13:R:7, icmp_sent_TOTAL:89
2101078812:13:R:7, icmp_recv_TOTAL:84
2101122677:2:R:7, icmp_sent_TOTAL:43
2101124475:2:R:7, icmp_recv_TOTAL:41
2101137210:8:R:7, icmp_sent_TOTAL:40
2101139009:8:R:7, icmp_recv_TOTAL:67
2101234895:4:R:7, icmp_sent_TOTAL:47
2101236694:4:R:7, icmp_recv_TOTAL:53
2101276279:1:R:7, TOTAL_icmp_sent:9
2101278191:1:R:7, TOTAL_icmp_recv:147
2101288327:9:R:7, icmp_sent_TOTAL:39
2101290126:9:R:7, icmp_recv_TOTAL:69
2101443017:12:R:7, icmp_sent_TOTAL:39
2101444816:12:R:7, icmp_recv_TOTAL:88
2101595024:11:R:7, icmp_sent_TOTAL:39
2101596823:11:R:7, icmp_recv_TOTAL:39
2101601665:6:R:7, icmp_sent_TOTAL:68
2101603464:6:R:7, icmp_recv_TOTAL:65
2101785885:3:R:7, icmp_sent_TOTAL:60
2101787684:3:R:7, icmp_recv_TOTAL:60
2400959332:10:R:8, icmp_sent_TOTAL:82
2400961131:10:R:8, icmp_recv_TOTAL:90
2401077014:13:R:8, icmp_sent_TOTAL:95
2401078813:13:R:8, icmp_recv_TOTAL:87
2401122682:2:R:8, icmp_sent_TOTAL:47
2401124480:2:R:8, icmp_recv_TOTAL:44
2401137209:8:R:8, icmp_sent_TOTAL:44
2401139008:8:R:8, icmp_recv_TOTAL:71
2401234921:4:R:8, icmp_sent_TOTAL:52
2401236720:4:R:8, icmp_recv_TOTAL:58
2401276278:1:R:8, TOTAL_icmp_sent:9
2401278190:1:R:8, TOTAL_icmp_recv:155
2401288322:9:R:8, icmp_sent_TOTAL:44
